HUVUDMANNATYP|ORGANISATIONSNR|LÄN|LÄNSNAMN|KOMMUN|KOMMUNNAMN|SKOLENHETSKOD|NAMN|ADRESS|POSTNR|POSTORT|BESÖKSADRESS|BESÖKSPOSTNR|BESÖKSPOSTORT|TELENR|WEBB|EPOST|HUVUDMANS NAMN|REKTORS NAMN|BARN- O FRITIDSPROGRAMMET|BYGG- O ANL. PROGRAMMET|EL- O ENERGIPROGRAMMET|FORDONS- O TRANSP. PROGRAMMET|HANDELS O ADM. PROGRAMMET|HANTVERKSPROGRAMMET|HOTELL O TURISMPROGRAMMET|INDUSTRITEKNISKA PROGRAMMET|NATURBRUKSPROGRAMMET|REST.- O LIVSMEDELSPROGRAMMET|VVS O FASTIGHETSPROGRAMMET|VÅRD O OMSORGSPROGRAMMET|EKONOMIPROGRAMMET|ESTETISKA PROGRAMMET|HUMANISTISKA PROGRAMMET|NATURVETENSKAPSPROGRAMMET|SAMHÄLLSVETENSKAPPROGRAMMET|TEKNIKPROGRAMMET|PREPARANDUTBILDNING|PROGRAMINRIKTAT IND. VAL|INDIVIDUELLT ALTERNATIV|SPRÅKINTRODUKTION|YRKESINTRODUKTION|FLYGTEKNIKUTBILDNINGEN|MARINTEKNIKUTBILDINGEN|SJÖFARTSUTBILDNINGEN|TÅGTEKNIKUTBILDNINGEN|UTBILDNINGEN SAMISKA NÄRINGAR|YRKESDANSARUTBILDNINGEN|VIDAREUTBILDING I FORM FJÄRDE TEKNISKT ÅR|ENDAST INTRODUKTIONSPROGRAM|ELEVER BARN O FRITID|ELEVER BYGG O ANL|ELEVER EL O ENERGI|ELEVER FORDON O TRANSP|ELEVER HANDEL O ADM|ELEVER HANTVERK|ELEVER HOTELL O TURISM|ELEVER INDUSTRITEKNISK|ELEVER NATURBRUK|ELEVER REST O LIVSMEDEL|ELEVER VVS O FASTIGHET|ELEVER VÅRD O OMSORG|TOTALT ANTAL ELEVER RIKSREKRYT UTB|ELEVER EKONOMI|ELEVER ESTETISK|ELEVER HUMANISTISK|ELEVER NATURVETENSKAP|ELEVER SAMHÄLLSVETENSKAP|ELEVER TEKNIK|ELEVER IB|ELEVER INTRO PREPARAND|ELEVER INTRO PROGRAMINR INDIVID|ELEVER YRKESINTRO|ELEVER INTRO INDIVID|ELEVER SPRÅKINTRO|TOTALT ANTAL ELEVER INTRODUKTIONSPROGRAM|ELEVER FLYGTEKNIKUTBILDNING|ELEVER MARINTEKNIKUTBILDNING|ELEVER SJÖFARTSUTBILDNING|ELEVER TÅGTEKNIKUTBILDNING|ELEVER UTB SAMISKA NÄRINGAR|ELEVER YRKESDANSARUTB|ELEVER VIDAREUTB FJÄRDE TEKNISKT ÅR|ELEVER TOTALT|INRIKTNING|JURIDISK FORM
Kommunal|2120001124|12|Skåne län|1280|Malmö|65381163|Pauliskolan |Föreningsgatan 41|21152|MALMÖ|Föreningsgatan 41|21152|MALMÖ|040-346565|http://www.malmo.se/pauligymnasium|pauligymnasium@malmo.se|MALMÖ KOMMUN|Åse Nilsson|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|J|J|J|J|N|N|J|N|N|N|N|N|N|N|J|N|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|107|356|222|0|17|0|0|0|13|30|0|0|0|0|0|0|0|715||Kommuner
Enskild|5564427432|12|Skåne län|1280|Malmö|98541468|Peabskolan Malmö|Fosievägen 4|21431|MALMÖ|Fosievägen 4|21431|MALMÖ|040-235449|http://www.peabskolan.se|peabskolanmalmo@peab.se|Peabskolan AB|Nicklas Lundgren|N|J|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|J|N|N|J|N|N|N|N|N|N|N|N|0|92|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|92|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Enskild|5565789129|12|Skåne län|1280|Malmö|31155312|Plusgymnasiet Malmö|Gibraltargatan 2|21118|MALMÖ|Gibraltargatan 2|21118|MALMÖ|072-2234800|http://www.plusgymnasiet.se|malmo@plusgymnasiet.se|Plusgymnasiet AB|Petra Järrenberg|N|N|N|N|N|J|N|N|N|N|N|N|J|N|N|N|J|N|J|J|N|N|N|N|N|N|N|N|N|N|N|0|0|0|0|0|69|0|0|0|0|0|0|0|35|0|0|0|141|0|0|10|12|0|0|0|22|0|0|0|0|0|0|0|267|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Enskild|5562575786|12|Skåne län|1280|Malmö|25648215|Praktiska Malmö City|Industrigatan 13|21214|MALMÖ|Industrigatan 13|21214|MALMÖ|040-306510|http://www.praktiska.se|Ewa.legrand@vindora.se|Praktiska Sverige AB|Ewa le Grand|J|J|N|N|J|N|N|J|N|N|J|J|N|N|N|N|N|N|N|J|N|N|J|N|N|N|N|N|N|N|N|62|14|0|0|31|0|0|7|0|0|38|44|0|0|0|0|0|0|0|0|0|40|11|0|0|51|0|0|0|0|0|0|0|247|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Enskild|5562575786|12|Skåne län|1280|Malmö|61823258|Praktiska Malmö Limhamn|Krossverksgatan 34|21616|LIMHAMN|Krossverksgatan 34|21616|LIMHAMN|040-306510|http://www.praktiska.se|ing-marie.gustavsson@vindora.se|Praktiska Sverige AB|Ing-Marie Gustavsson|N|N|J|J|N|J|N|N|J|N|N|N|N|N|N|N|N|N|N|J|N|N|N|N|N|N|N|N|N|N|N|0|0|24|16|0|25|0|0|11|0|0|0|0|0|0|0|0|0|0|0|0|38|15|0|0|53|0|0|0|0|0|0|0|129|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Enskild|5566157102|12|Skåne län|1280|Malmö|84424083|ProCivitas Privata Gymnasium, Malmö|Citadellsvägen 9|21118|MALMÖ|Södra Neptunigatan 8|21118|MALMÖ|040-303900|http://www.procivitas.se|malmo@procivitas.se|ProCivitas Privata Gymnasium AB|Paul Gertsson|N|N|N|N|N|N|N|N|N|N|N|N|J|N|N|J|J|N|N|N|N|N|N|N|N|N|N|N|N|N|N|0|0|0|0|0|0|0|0|0|0|0|0|0|246|0|0|138|211|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|595|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Enskild|5565715892|12|Skåne län|1280|Malmö|39178171|Realgymnasiet Malmö|Carlsgatan 12 C|21120|MALMÖ|Carlsgatan 12 C|21120|MALMÖ|010-1398410|http://www.realgymnasiet.se|malmo@realgymnasiet.se|Lärande i Sverige AB|Anna Hellström|N|N|N|N|N|N|N|N|J|N|N|N|N|N|N|N|N|N|N|J|N|N|J|N|N|N|N|N|N|N|N|0|0|0|0|0|0|0|0|109|0|0|0|0|0|0|0|0|0|0|0|0|6|4|0|0|10|0|0|0|0|0|0|0|119|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Enskild|5564648979|12|Skåne län|1280|Malmö|49231191|Rytmus Malmö|Barkgatan 8|21422|MALMÖ|Barkgatan 8|21422|MALMÖ|040-107280|http://www.rytmus.se|info.malmo@rytmus.se|Rytmus AB|Martin Thuvesson|N|N|N|N|N|N|N|N|N|N|N|N|N|J|N|N|N|N|J|N|N|N|N|N|N|N|N|N|N|N|N|0|0|0|0|0|0|0|0|0|0|0|0|0|0|141|0|0|0|0|0|1|0|0|0|0|1|0|0|0|0|0|0|0|142|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Kommunal|2120001124|12|Skåne län|1280|Malmö|78231062|S:t Petri skola|Fersens väg 1|21142|MALMÖ|Fersens väg 1|21142|MALMÖ|040-349400|http://www.malmo.se|petri@malmo.se|MALMÖ KOMMUN|Eva Daun|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|J|J|N|N|N|N|J|N|N|N|N|N|N|N|N|N|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|401|402|0|0|0|0|0|0|25|25|0|0|0|0|0|0|0|828||Kommuner
Enskild|5565042255|12|Skåne län|1280|Malmö|25160697|Snitz Gymnasium Malmö|Östra Kanalgatan 3|21141|MALMÖ|Östra Kanalgatan 3|21141|MALMÖ|0768-852009|http://www.snitz.se|info@snitz.se|PPS POWER PLANNING SYSTEM AKTIEBOLAG|Lotta Juvin|N|N|J|N|N|N|N|N|N|N|N|N|N|J|N|N|J|N|N|N|N|N|N|N|N|N|N|N|N|N|N|0|0|4|0|0|0|0|0|0|0|0|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|6|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Kommunal|2120001124|12|Skåne län|1280|Malmö|79592087|Startskolan|Kungsgatan 44|21213|MALMÖ|Kungsgatan 44|21213|MALMÖ|040-343191||malmostad@malmo.se|MALMÖ KOMMUN|Johan Ahlström|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|J|N|N|N|N|N|N|N|N|J|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||Kommuner
Kommunal|2120001124|12|Skåne län|1280|Malmö|43374949|Startskolan NSG|Kungsgatan 44|21213|MALMÖ|Östra Farmvägen 18|21216|MALMÖ|040-343191|http://www.malmo.se|varnhemsskolan@malmo.se|MALMÖ KOMMUN|Johan Ahlström|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|J|N|N|N|N|N|N|N|N|N|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||Kommuner
Enskild|5566866082|12|Skåne län|1280|Malmö|79994304|TAU Hantverksskola Gymnasium|Brännögatan 2|21124|MALMÖ|Brännögatan 2|21124|MALMÖ|040-290206|http://www.taulearning.se|info@taulearning.se|TAU Learning Aktiebolag|Catherine Ljungman|N|J|N|N|N|J|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|J|N|N|N|N|N|N|N|N|0|5|0|0|0|25|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|7|0|0|7|0|0|0|0|0|0|0|37|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Enskild|5566139290|12|Skåne län|1280|Malmö|10481541|Thoren Business School Malmö|Stora Nygatan 52|21137|MALMÖ|Stora Nygatan 52|21137|MALMÖ|040-6365050|http://www.affarsgymnasiet.se|malmo@tbschool.se|THORENGRUPPEN AB|Joakim Olefeldt|N|N|N|N|N|N|N|N|N|N|N|N|J|N|N|J|J|N|N|N|N|N|N|N|N|N|N|N|N|N|N|0|0|0|0|0|0|0|0|0|0|0|0|0|206|0|0|78|183|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|467|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Kommunal|2120001124|12|Skåne län|1280|Malmö|75150461|UngMalmö|Föreningsgatan 7|21152|MALMÖ|Föreningsgatan 7|21152|MALMÖ|0723-564077|http://www.malmo.se|pia.diurhuus-gundersen@malmo.se|MALMÖ KOMMUN|Pia Diurhuus-Gundersen|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|J|N|N|N|N|N|N|N|N|N|J|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||Kommuner
Kommunal|2120001124|12|Skåne län|1280|Malmö|68006362|Universitetsholmens gymnasium |Citadellsvägen 25|21118|MALMÖ|Citadellsvägen 25|21118|MALMÖ|040-342995|http://www.malmo.se|universitetsholmen@malmo.se|MALMÖ KOMMUN|Agneta Nilsson|N|N|J|N|N|N|N|N|N|N|J|J|N|N|N|N|N|N|N|J|N|J|N|N|N|N|N|N|N|N|N|0|0|142|0|0|0|0|0|0|0|91|147|0|0|0|0|0|0|0|0|0|56|0|0|16|72|0|0|0|0|0|0|0|452||Kommuner
Kommunal|2120001124|12|Skåne län|1280|Malmö|70200717|Valdemarsro gymnasium|Källvattengatan 2|21223|MALMÖ|Källvattengatan 2|21223|MALMÖ|040-346639|http://www.malmo.se/gymnasieskolor|vrogys@malmo.se|MALMÖ KOMMUN|Mikael Follrud|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|J|N|N|N|N|N|N|N|N|N|N|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|6|0|6|0|0|0|0|0|0|0|6||Kommuner
Kommunal|2120001124|12|Skåne län|1280|Malmö|11608031|Värnhemsskolan |Kungsgatan 44|21213|MALMÖ|Kungsgatan 44|21213|MALMÖ|040-343191|http://www.malmo.se/gymnasieskolor|varnhemsskolan@malmo.se|MALMÖ KOMMUN|Barbro Willners|J|N|N|N|J|J|J|N|N|J|N|N|N|N|N|N|N|N|J|J|J|J|J|N|N|N|N|N|N|N|N|80|0|0|0|39|49|42|0|0|111|0|0|0|0|0|0|0|0|0|0|44|154|70|123|404|795|0|0|0|0|0|0|0|1116||Kommuner
Enskild|5566139290|12|Skåne län|1280|Malmö|86762103|Yrkesgymnasiet Malmö|Estlandsgatan 6|21431|MALMÖ|Estlandsgatan 6|21431|MALMÖ|040-6364980|http://www.yrkesgymnasiet.se|malmo@yrkesgymnasiet.se|THORENGRUPPEN AB|Daniel Tegnvallius|N|J|J|J|J|N|N|N|N|N|J|N|N|N|N|N|N|N|N|N|N|N|J|N|N|N|N|N|N|N|N|0|28|40|18|29|0|0|0|0|0|26|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|141|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Enskild|5566023684|12|Skåne län|1281|Lund|69807202|Consensum Gymnasium Lund|Sankt Lars väg, byggnad 20|22270|LUND|Sankt Lars väg, byggnad 20|22270|LUND|046-141495|http://www.consensum-lund.se|info@consensum-lund.se|Consensum Lund AB|Linda Klang|N|N|N|N|N|N|N|N|N|N|N|J|N|N|N|J|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|0|0|0|0|0|0|0|0|0|0|0|183|0|0|0|0|79|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|262|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Enskild|5565668794|12|Skåne län|1281|Lund|64648904|Drottning Blankas Gymn. Lund|Mårtenstorget 11|22350|LUND|Mårtenstorget 11|22350|LUND|072-2012260|http://www.drottningblanka.se|lund@dbgy.se|Drottning Blankas Gymnasieskola AB|Marie Roslund|N|N|N|N|N|J|N|N|N|N|N|N|N|J|N|N|J|N|N|N|N|N|N|N|N|N|N|N|N|N|N|0|0|0|0|0|64|0|0|0|0|0|0|0|0|26|0|0|61|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|151|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Kommunal|2120001132|12|Skåne län|1281|Lund|75939593|Gymnasieskolan Spyken|Box 2003|22002|LUND|Dalbyvägen 2|22466|LUND|046-357800|http://www.lund.se/spyken|spyken@lund.se|LUNDS KOMMUN|Petra Karlsson|N|N|N|N|N|N|N|N|N|N|N|N|N|J|J|J|J|N|N|N|N|N|N|N|N|N|N|N|N|N|N|0|0|0|0|0|0|0|0|0|0|0|0|0|0|234|92|370|407|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1103||Kommuner
Kommunal|2120001132|12|Skåne län|1281|Lund|63035915|Gymnasieskolan Vipan|Vipeholmsvägen|22466|LUND|Vipeholmsvägen|24751|LUND|046-355000|http://www.lund.se/vipan|vipan@lund.se|LUNDS KOMMUN|Johan Aspelin|J|J|J|N|J|N|J|N|N|J|J|J|N|N|N|N|N|N|J|J|J|N|J|N|N|N|N|N|N|N|N|116|135|112|0|89|0|70|0|0|142|85|65|0|0|0|0|0|0|0|0|17|27|44|80|0|168|0|0|0|0|0|0|0|982||Kommuner
Enskild|5566358759|12|Skåne län|1281|Lund|26324896|JENSEN Gymnasium Lund|Trollebergsvägen 14|22229|LUND|Trollebergsvägen 14|22229|LUND|046-2717720|http://www.jensengymnasium.se|anna.ljunggren@jenseneducation.se|JENSEN EDUCATION COLLEGE AB|Anna Ljunggren|N|N|N|N|J|N|N|N|N|N|N|N|J|N|N|J|J|N|N|N|N|N|N|N|N|N|N|N|N|N|N|0|0|0|0|57|0|0|0|0|0|0|0|0|43|0|0|17|54|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|171|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Kommunal|2120001132|12|Skåne län|1281|Lund|56639389|Katedralskolan|Stora Södergatan 22|22223|LUND|Stora Södergatan 22|22223|LUND|046-357610|http://www.lund.se/katedralskolan|katedralskolan@lund.se|LUNDS KOMMUN|Ingalill Fritzon|N|N|N|N|N|N|N|N|N|N|N|N|J|N|J|J|J|N|N|N|N|N|N|N|N|N|N|N|N|N|N|0|0|0|0|0|0|0|0|0|0|0|0|0|272|0|78|528|322|0|219|0|0|0|0|0|0|0|0|0|0|0|0|0|1419||Kommuner
Enskild|8465021015|12|Skåne län|1281|Lund|95700485|Lars-Erik Larssongymnasiet|Sankt Laurentiigatan 1|22221|LUND|Sankt Laurentiigatan 1|22221|LUND|046-373799|http://www.lel.nu|info@lel.nu|LARS-ERIK LARSSON GYMNASIET|Mårten Eberhard|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|J|J|N|N|N|N|N|N|N|N|N|N|N|N|N|N|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|93|48|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|141|Allmän|Ideella föreningar
Enskild|5564851649|12|Skåne län|1281|Lund|51449748|LBS Ljud & Bildskolan Lund|Bredgatan 10|22222|LUND|Bredgatan 10|22222|LUND|046-134340|http://www.lbs.se|lund@lbs.se|LJUD & BILDSKOLAN LBS AB|Marcus Björk|N|N|N|N|N|N|N|N|N|N|N|N|N|J|N|N|N|J|N|N|N|N|N|N|N|N|N|N|N|N|N|0|0|0|0|0|0|0|0|0|0|0|0|0|0|268|0|0|0|108|0|0|0|0|0|0|0|0|0|0|0|0|0|0|376|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Enskild|5566981766|12|Skåne län|1281|Lund|28267726|Lunds Dans- o Musikalgymnasium|Kiliansgatan 13|22350|LUND|Kiliansgatan 13|22350|LUND|046-2400505|http://www.dansomusikal.se|info@dansomusikal.se|Dans o Musikal i Lund AB|Ingrid Norrgren|N|N|N|N|N|N|N|N|N|N|N|N|N|J|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|0|0|0|0|0|0|0|0|0|0|0|0|0|0|186|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|186|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Enskild|5566426630|12|Skåne län|1281|Lund|28848709|Lunds Fordonstekniska Gymn.|Fältspatvägen 2|22478|LUND|Fältspatvägen 2|22478|LUND|046-151575|http://www.lftg.se|info@lftg.se|LUNDS FORDONSTEKNISKA GYMNASIUM AB|Katarina Dahlberg|N|N|N|J|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|0|0|0|67|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|67|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Enskild|5561203679|12|Skåne län|1281|Lund|12613085|NTI-gymnasiet Lund|Sankt Lars väg 11|22270|LUND|Sankt Lars väg 11|22270|LUND|046-192340|http://www.ntigymnasiet.se|gymnasiet.lund@ntig.se|NORDENS TEKNIKERINSTITUT AKTIEBOLAG (NTI)|Lena Edén|N|N|J|N|N|N|N|N|N|N|N|N|N|N|N|N|N|J|N|N|N|N|N|N|N|N|N|N|N|N|N|0|0|95|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|90|0|0|0|0|0|0|0|0|0|0|0|0|0|0|185|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Kommunal|2120001132|12|Skåne län|1281|Lund|53896162|Polhemskolan|Box 4047|22721|LUND|Trollebergsvägen 41|22654|LUND|046-357310|http://www.lund.se/polhem|polhemskolan@lund.se|LUNDS KOMMUN|Torbjörn Persson Hanö|N|N|N|N|N|J|N|N|N|N|N|N|J|J|N|J|J|J|N|N|N|J|N|N|N|N|N|N|N|N|N|0|0|0|0|0|46|0|0|0|0|0|0|0|426|54|0|509|728|499|0|0|0|0|0|87|87|0|0|0|0|0|0|0|2349||Kommuner
Enskild|5566157102|12|Skåne län|1281|Lund|17779637|ProCivitas Privata Gymnasium Lund|Biskopsgatan 7|22362|LUND|Biskopsgatan 7|22362|LUND|046-182550|http://www.mikaelelias.se|info.lund@mikaelelias.se|ProCivitas Privata Gymnasium AB|Camilla Lindkvist|N|N|N|N|N|N|N|N|N|N|N|N|J|N|N|J|J|N|N|N|N|N|N|N|N|N|N|N|N|N|N|0|0|0|0|0|0|0|0|0|0|0|0|0|67|0|0|40|63|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|170|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Enskild|5565715892|12|Skåne län|1281|Lund|11185244|Realgymnasiet i Lund|S:t Lars väg 88|22270|LUND|S:t Lars väg 88|22270|LUND|010-1398390|http://www.realgymnasiet.se|lund@realgymnasiet.se|Lärande i Sverige AB|Martina Norrgren Lindvall|N|N|N|N|N|J|J|N|J|N|N|N|N|J|N|N|J|J|N|J|N|N|N|N|N|N|N|N|N|N|N|0|0|0|0|0|11|0|0|63|0|0|0|0|0|0|0|0|0|0|0|0|8|1|0|0|9|0|0|0|0|0|0|0|83|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Enskild|5566814504|12|Skåne län|1281|Lund|56211717|Sveriges Ridgymnasium Flyinge|Box 3, c/o Flyinge AB |24729|FLYINGE|Flyinge Kursgård|24729|FLYINGE|010-4952000|http://www.ridgymnasium.nu|info@ridgymnasium.nu|Sveriges Ridgymnasium AB|Karin Hero|N|N|N|N|N|N|N|N|J|N|N|N|N|N|N|N|N|N|N|J|N|N|J|N|N|N|N|N|N|N|N|0|0|0|0|0|0|0|0|27|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|27|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Enskild|5568902653|12|Skåne län|1281|Lund|66824652|Thoren Innovation School Lund|Warholm väg 3|22465|LUND|Warholms väg 3|22465|LUND|046-2707880|http://www.tekniskagymnasiet.se|lund@tekniskagymnasiet.se|Thoren Innovation School AB|Eva Svensson|N|N|J|N|N|N|N|J|N|N|N|N|N|N|N|J|N|J|N|N|N|N|N|N|N|N|N|N|N|N|N|0|0|50|0|0|0|0|16|0|0|0|0|0|0|0|0|25|0|63|0|0|0|0|0|0|0|0|0|0|0|0|0|0|154|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Kommunal|2120001140|12|Skåne län|1282|Landskrona|47108212|Allvar Gullstrandgymnasiet|Regeringsgatan 54|26136|LANDSKRONA|Regeringsgatan 54|26136|LANDSKRONA|0418-473030|http://www.landskrona.se|allvar.gullstrandgymnasiet@landskrona.se|LANDSKRONA KOMMUN|Erik Åström|N|N|J|N|N|N|N|J|N|N|N|N|J|N|N|J|J|J|J|J|J|N|N|N|N|N|N|N|N|N|N|0|0|33|0|0|0|0|11|0|0|0|0|0|50|0|0|46|106|14|0|5|2|10|1|0|18|0|0|0|0|0|0|0|278||Kommuner
Kommunal|2120001140|12|Skåne län|1282|Landskrona|37132612|Selma Lagerlöfgymnasiet|Kvarngatan 8|26140|LANDSKRONA|Kvarngatan 8, Lasarettsomr.|26140|LANDSKRONA|0418-470300|http://www.landskrona.se|selma.lagerlof@landskrona.se|LANDSKRONA KOMMUN|Mikael Thunberg|J|J|N|N|J|N|N|N|N|J|N|J|N|N|N|N|N|N|J|J|J|J|J|N|N|N|N|N|N|N|N|28|28|0|0|28|0|0|0|0|10|0|37|0|0|0|0|0|0|0|0|1|44|32|8|99|184|0|0|0|0|0|0|0|315||Kommuner
Enskild|5566264056|12|Skåne län|1283|Helsingborg|41745951|Campeon Frigymnasium|Södra Storgatan 23|25223|HELSINGBORG|Södra Storgatan 23|25223|HELSINGBORG|042-212040|http://www.campeon.se|info@campeon.se|CAMPEON FRIGYMNASIUM AB|Katja Tamner|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|J|N|N|N|N|N|N|N|N|N|N|N|N|N|N|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|207|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|207|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Enskild|5567127237|12|Skåne län|1283|Helsingborg|83137205|Cultura Gymnasium|Box 1392|25113|HELSINGBORG|Konsul Perssons Plats 1|25225|HELSINGBORG|042-4000650|http://www.culturagymnasium.se|info@culturagymnasium.se|Cultura Utbildning AB|Åsa Johansson|N|N|N|N|N|N|N|N|N|N|N|N|N|N|J|J|J|N|J|N|N|N|N|N|N|N|N|N|N|N|N|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|7|54|96|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|157|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Enskild|5569828451|12|Skåne län|1283|Helsingborg|28398531|Design & Construction College Helsingborg|Södra Strandgatan 1|25224|HELSINGBORG|Södra Strandgatan 1|25224|HELSINGBORG|042-4449684|http://www.dccgymnasium.se|dcchelsingborg@hermods.se|Hermods Design & Construction College AB|Mikael Fors|N|N|J|N|J|N|J|N|N|N|N|N|N|N|N|N|J|J|N|J|N|N|J|N|N|N|N|N|N|N|N|0|21|44|0|114|0|84|0|0|0|0|0|0|0|0|0|0|9|48|0|0|0|0|0|0|0|0|0|0|0|0|0|0|320|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Enskild|5565668794|12|Skåne län|1283|Helsingborg|66335258|Drottning Blankas Gymn. Helsingborg|Prästgatan 10|25224|HELSINGBORG|Prästgatan 10|25224|HELSINGBORG|042-284040|http://www.drottningblanka.se|helsingborg@dbgy.se|Drottning Blankas Gymnasieskola AB|Maria Nilsson|N|N|N|N|N|J|N|N|N|N|N|J|J|N|N|N|J|N|N|N|N|N|N|N|N|N|N|N|N|N|N|0|0|0|0|0|84|0|0|0|0|0|70|0|7|0|0|0|53|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|214|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Kommunal|2120001157|12|Skåne län|1283|Helsingborg|54172830|Filbornaskolan|Filbornavägen 101|25661|HELSINGBORG|Filbornavägen 101|25661|HELSINGBORG|042-102400|http://www.helsingborg.se/filbornaskolan|info.filbornaskolan@helsingborg.se|HELSINGBORGS KOMMUN|Ulf Sandgren|J|N|N|N|J|N|N|J|N|N|N|N|J|N|N|J|J|N|J|J|J|J|N|N|N|N|N|N|N|N|N|66|0|0|0|55|0|0|37|0|0|0|0|0|105|0|0|97|119|0|0|7|12|45|30|39|133|0|0|0|0|0|0|0|612||Kommuner
Enskild|5566412549|12|Skåne län|1283|Helsingborg|86310217|G.O. Kompetens Transportgymnasium|Box 150 14|25015|HELSINGBORG|Skogsstigen 8|25341|VALLÅKRA|042-99499|http://www.gokompetens.se|ao@gokompetens.se|G.O. KOMPETENS TRANSPORTGYMNASIUM AB|Anders Ohlsson|N|N|N|J|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|0|0|0|107|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|107|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
