HUVUDMANNATYP|ORGANISATIONSNR|LÄN|LÄNSNAMN|KOMMUN|KOMMUNNAMN|SKOLENHETSKOD|NAMN|ADRESS|POSTNR|POSTORT|BESÖKSADRESS|BESÖKSPOSTNR|BESÖKSPOSTORT|TELENR|WEBB|EPOST|FKLASS|ÅR1|ÅR2|ÅR3|ÅR4|ÅR5|ÅR6|ÅR7|ÅR8|ÅR9|HUVUDMANS NAMN|REKTORS NAMN|ELEVAR FKLASS|ELEVER ÅR1|ELEVER ÅR2|ELEVER ÅR3|ELEVER ÅR4|ELEVER ÅR5|ELEVER ÅR6|ELEVER ÅR7|ELEVER ÅR8|ELEVER ÅR9|INRIKTNING|JURIDISK FORM
Enskild|7164063872|12|Skåne län|1292|Ängelholm|39381869|Vejbystrands skola|Skogsvägen 40|26654|VEJBYSTRAND|Skogsvägen 40|26654|VEJBYSTRAND|0431-452319|http://www.vejbystrandsskola.se|info@vejbystrandsskola.se|J|J|J|J|J|J|J|N|N|N|Vejbystrands Skola och Förskola Ekonomisk förening|Iréne Gustavsson|14|14|9|10|8|8|4|0|0|0|Allmän|Ekonomiska föreningar utom bostadsrättsföreningar
Kommunal|2120000977|12|Skåne län|1292|Ängelholm|12764570|Villanskolan F-6|Stallgatan 13|26252|ÄNGELHOLM|Stallgatan 13|26252|ÄNGELHOLM|0431-468665|http://www.villan.skola.engelholm.se|villan@engelholm.se|J|J|J|J|J|J|J|N|N|N|ÄNGELHOLMS KOMMUN|Johanna Rundgren|78|86|89|62|95|94|73|0|0|0||Kommuner
Kommunal|2120000977|12|Skåne län|1292|Ängelholm|78910791|Ängelholms Montessoriskola|N. Sockerbruksgatan 5|26263|ÄNGELHOLM|N. Sockerbruksgatan 5|26263|ÄNGELHOLM|0431-468350|http://www.engelholm.se|expmontessori@engelholm.se|J|J|J|J|J|J|J|N|N|N|ÄNGELHOLMS KOMMUN|Johan Engkvist|26|26|28|22|28|18|41|0|0|0||Kommuner
Kommunal|2120000977|12|Skåne län|1292|Ängelholm|36962579|Össjö skola|Össjö Byaväg 203|26691|MUNKA LJUNGBY|Össjö Byaväg 203|26691|MUNKA LJUNGBY|0431-468410|http://www.tofta.skola.engelholm.se|exptoro@engelholm.se|J|J|J|J|J|J|J|N|N|N|ÄNGELHOLMS KOMMUN|Diana Danielsson|10|9|4|10|8|3|11|0|0|0||Kommuner
Kommunal|2120000985|12|Skåne län|1293|Hässleholm|97094194|Ballingslövs skola F-6|Box 254, Barn- och Utbildningsförvaltningen|28123|HÄSSLEHOLM|Ballingslövs skola|28197|BALLINGSLÖV|0451-267870|http://www.hassleholm.se/ballingslovskola|ballingslovskola@hesselholm.se|J|J|J|J|J|J|J|N|N|N|HÄSSLEHOLMS KOMMUN|Torsten Wetterqvist|3|7|3|7|2|4|4|0|0|0||Kommuner
Kommunal|2120000985|12|Skåne län|1293|Hässleholm|83878055|Bjärnums skola 7-9|Box 254, Barn- och Utbildningsförvaltningen|28123|HÄSSLEHOLM|Boställsgatan 44|28020|BJÄRNUM|0451-267803|http://www.hassleholm.se/bjarnumskola|bjarnumskola@hessleholm.se|N|N|N|N|N|N|N|J|J|J|HÄSSLEHOLMS KOMMUN|Madeleine Hultkrantz|0|0|0|0|0|0|0|50|62|73||Kommuner
Kommunal|2120000985|12|Skåne län|1293|Hässleholm|38064113|Bjärnums skola F-6|Box 254, Barn- och Utbildningsförvaltningen|28123|HÄSSLEHOLM|Boställsgatan 44|28020|BJÄRNUM|0451-267806|http://www.hassleholm.se/bjarnumskola|bjarnumskola@hessleholm.se|J|J|J|J|J|J|J|N|N|N|HÄSSLEHOLMS KOMMUN|Susanne Sandqvist|41|47|36|46|35|38|40|0|0|0||Kommuner
Kommunal|2120000985|12|Skåne län|1293|Hässleholm|16744637|Farstorps skola F-6|Box 254, Barn- och Utbildningsförvaltningen|28123|HÄSSLEHOLM|Farstorps skola|28023|HÄSTVEDA|0451-267870|http://www.hassleholm.se/farstorpskola|farstorpskola@hessleholm.se|J|J|J|J|J|J|J|N|N|N|HÄSSLEHOLMS KOMMUN|Torsten Wetterqvist|10|13|4|11|9|2|2|0|0|0||Kommuner
Kommunal|2120000985|12|Skåne län|1293|Hässleholm|67308549|Finja skola F-6|Box 254, Barn- och Utbildningsförvaltningen|28123|HÄSSLEHOLM|Prästvägen 19|28153|FINJA|0451-267916|http://www.hassleholm.se/finjaskola|omrvast@hessleholm.se|J|J|J|J|J|J|J|N|N|N|HÄSSLEHOLMS KOMMUN|Mona Holmgren|12|6|9|5|6|10|14|0|0|0||Kommuner
Kommunal|2120000985|12|Skåne län|1293|Hässleholm|55037934|Furutorpskolan 4-6|Box 254, Barn- och Utbildningsförvaltningen|28123|HÄSSLEHOLM|Vannebergavägen 36|28147|VINSLÖV|0451-267730|http://www.hassleholm.se/furutorpskolan|furutorpskolan@hessleholm.se|N|N|N|N|J|J|J|N|N|N|HÄSSLEHOLMS KOMMUN|Annika Persson|19|20|23|22|13|23|23|0|0|0||Kommuner
Kommunal|2120000985|12|Skåne län|1293|Hässleholm|78602001|Furutorpskolan 7-9|Box 254, Barn- och Utbildningsförvaltningen|28123|HÄSSLEHOLM|Vannebergavägen 36|28832|VINSLÖV|0451-267795|http://www.hassleholm.se/furutorpskolan|furutorpskolan@hessleholm.se|N|N|N|N|N|N|N|J|J|J|HÄSSLEHOLMS KOMMUN|Johan Johansson|0|0|0|0|0|0|0|61|51|75||Kommuner
Kommunal|2120000985|12|Skåne län|1293|Hässleholm|85679977|Grönängsskolan F-6|Box 254, Barn- och Utbildningsförvaltningen|28123|HÄSSLEHOLM|Sonetorpsgatan 1|28147|HÄSSLEHOLM|0451-267909|http://www.hassleholm.se/gronangsskolan|gronangsskolan@hessleholm.se|J|J|J|J|J|J|J|N|N|N|HÄSSLEHOLMS KOMMUN|Magnus Ringdahl|44|38|27|49|33|40|36|0|0|0||Kommuner
Kommunal|2120000985|12|Skåne län|1293|Hässleholm|50909158|Hästveda skola 4-9|Box 254, Barn- och Utbildningsförvaltningen|28123|HÄSSLEHOLM|Östergatan 2|28023|HÄSTVEDA|0451-267869|http://www.hassleholm.se/hastvedaskola|hastveda.skola@hessleholm.se|N|N|N|N|J|J|J|J|J|J|HÄSSLEHOLMS KOMMUN|Torsten Wetterqvist|0|0|0|0|23|21|34|39|34|36||Kommuner
Kommunal|2120000985|12|Skåne län|1293|Hässleholm|52164622|Hästveda skola F-3|Box 254, Barn- och Utbildningsförvaltningen|28123|HÄSSLEHOLM|Östergatan 2|28140|HÄSTVEDA|0451-267870|http://www.hassleholm.se/hastvedaskola|hastveda.skola@hessleholm.se|J|J|J|J|N|N|N|N|N|N|HÄSSLEHOLMS KOMMUN|Torsten Wetterqvist|16|27|22|21|0|0|0|0|0|0||Kommuner
Enskild|5564624368|12|Skåne län|1293|Hässleholm|79716826|Internationella Engelska Skolan Hässleholm|Wendesvägen 1|28152|HÄSSLEHOLM|Wendesvägen 1|28152|HÄSSLEHOLM|073-0322588|http://www.engelska.se|info.hassleholm@engelska.se|N|N|N|N|J|J|J|J|J|J|Internationella Engelska Skolan i Sverige AB|Max Gossell|0|0|0|0|30|30|32|63|24|0|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Kommunal|2120000985|12|Skåne län|1293|Hässleholm|57945497|Lejonskolan F-5|Box 254, Barn- och Utbildningsförvaltningen|28123|HÄSSLEHOLM|Skolgatan 15|28010|SÖSDALA|0451-267902|http://www.hassleholm.se/lejonskolan|lejonskolan@hessleholm.se|J|J|J|J|J|J|N|N|N|N|HÄSSLEHOLMS KOMMUN|Ingrid Landén|34|32|23|23|28|32|0|0|0|0||Kommuner
Kommunal|2120000985|12|Skåne län|1293|Hässleholm|84432632|Linnéskolan F-9|Box 254, Barn- och Utbildningsförvaltningen|28123|HÄSSLEHOLM|Röingegatan 55|28136|HÄSSLEHOLM|0451-268446|http://www.hassleholm.se/linneskolan7-9|bun@hassleholm.se|J|J|J|J|J|J|J|J|J|J|HÄSSLEHOLMS KOMMUN|Carola Krantz|0|0|0|0|0|0|0|56|54|43||Kommuner
Kommunal|2120000985|12|Skåne län|1293|Hässleholm|37198266|Ljungdalaskolan F-6|Box 254, Barn- och Utbildningsförvaltningen|28123|HÄSSLEHOLM|Trebackalånggatan 174|28141|HÄSSLEHOLM|0451-268509|http://www.hassleholm.se/ljungdalaskolan|ljungdala@hessleholm.se|J|J|J|J|J|J|J|N|N|N|HÄSSLEHOLMS KOMMUN|Joakim Ask|38|39|40|31|43|22|32|0|0|0||Kommuner
Kommunal|2120000985|12|Skåne län|1293|Hässleholm|29689372|Läredaskolan 7-9|Box 254, Barn- och Utbildningsförvaltningen|28123|HÄSSLEHOLM|Dykens väg 2|28139|HÄSSLEHOLM|0451-268484|http://www.hassleholm.se/laredaskolan|lareda@hessleholm.se|N|N|N|N|N|N|N|J|J|J|HÄSSLEHOLMS KOMMUN|Anders Johannesson|0|0|0|0|0|0|0|47|57|86||Kommuner
Kommunal|2120000985|12|Skåne län|1293|Hässleholm|51624177|Läredaskolan F-6|Box 254, Barn- och Utbildningsförvaltningen|28123|HÄSSLEHOLM|Dykens väg 2|28020|HÄSSLEHOLM|0451-268479|http://www.hassleholm.se/laredaskolan|lareda@hessleholm.se|J|J|J|J|J|J|J|N|N|N|HÄSSLEHOLMS KOMMUN|Rose-Marie Arvidsson|24|23|21|24|25|22|27|0|0|0||Kommuner
Kommunal|2120000985|12|Skåne län|1293|Hässleholm|49702354|Mala skola F-6|Box 254, Barn- och Utbildningsförvaltningen|28123|HÄSSLEHOLM|Mala skola|28020|BJÄRNUM|0451-267394|http://www.hassleholm.se/malaskola|mala.skola@hessleholm.se|J|J|J|J|J|J|J|N|N|N|HÄSSLEHOLMS KOMMUN|Susanne Sandqvist|1|12|10|9|11|10|10|0|0|0||Kommuner
Kommunal|2120000985|12|Skåne län|1293|Hässleholm|69162574|Röinge skola F-6|Box 254, Barn- och Utbildningsförvaltningen|28123|HÄSSLEHOLM|Blåbärsstigen 26|28137|HÄSSLEHOLM|0451-268457|http://www.hassleholm.se/roingeskola|bun@hassleholm.se|J|J|J|J|J|J|J|N|N|N|HÄSSLEHOLMS KOMMUN|Peter Jönsson|29|33|29|28|25|17|27|0|0|0||Kommuner
Kommunal|2120000985|12|Skåne län|1293|Hässleholm|24099280|Röke skola F-6|Box 254, Barn- och Utbildningsförvaltningen|28123|HÄSSLEHOLM|Röke skola|28293|RÖKE|0451-267916|http://www.hassleholm.se/rokeskola|omrvast@hessleholm.se|J|J|J|J|J|J|J|N|N|N|HÄSSLEHOLMS KOMMUN|Mona Holmgren|9|13|9|8|7|9|3|0|0|0||Kommuner
Kommunal|2120000985|12|Skåne län|1293|Hässleholm|65408331|Silviaskolan 1-9|Box 254, Barn- och Utbildningsförvaltningen|28123|HÄSSLEHOLM|Mellankullagatan 7|28144|HÄSSLEHOLM|0451-268433|http://www.hassleholm.se/silvia|silviaskolan@hessleholm.se|J|J|J|J|J|J|J|J|J|J|HÄSSLEHOLMS KOMMUN|Christian Örn|0|8|3|3|5|3|8|2|9|6||Kommuner
Kommunal|2120000985|12|Skåne län|1293|Hässleholm|68970313|Stoby skola F-6|Box 254, Barn- och Utbildningsförvaltningen|28123|HÄSSLEHOLM|Mäster Olofs väg|28831|STOBY|0451-267040|http://www.hassleholm.se/stobyskola|bun@hassleholm.se|J|J|J|J|J|J|J|N|N|N|HÄSSLEHOLMS KOMMUN|Camilla Zander|18|21|17|19|16|16|21|0|0|0||Kommuner
Kommunal|2120000985|12|Skåne län|1293|Hässleholm|55815171|Söderparkskolan F-3|Box 254, Barn- och Utbildningsförvaltningen|28123|HÄSSLEHOLM|Föreningsgatan 40|28151|VINSLÖV|0451-267733|http://www.hassleholm.se/soderparkskolan|soderparkskolan@hessleholm.se|J|J|J|J|N|N|N|N|N|N|HÄSSLEHOLMS KOMMUN|Anette Adamsson|35|32|40|42|37|46|27|0|0|0||Kommuner
Kommunal|2120000985|12|Skåne län|1293|Hässleholm|76278008|T4-skolan F-9|Box 254, Barn- och Utbildningsförvaltningen|28123|HÄSSLEHOLM|Norregatan 22|28151|HÄSSLEHOLM|0451-267252|http://www.hassleholm.se/t4|info.t4@hessleholm.se|N|N|N|J|N|N|N|N|N|J|HÄSSLEHOLMS KOMMUN|Bodil Tingvar Boo|0|10|17|15|0|13|24|0|25|37||Kommuner
Kommunal|2120000985|12|Skåne län|1293|Hässleholm|28804882|T4-skolan Montessori F-9|Box 254, Barn- och Utbildningsförvaltningen|28123|HÄSSLEHOLM|Norregatan 22|28152|HÄSSLEHOLM|0451-267250|http://www.hassleholm.se/t4montessori|info.t4@hassleholm.se|J|J|J|J|J|J|J|J|J|J|HÄSSLEHOLMS KOMMUN|Bodil Tingvar Boo|0|28|28|28|27|25|26|31|26|20||Kommuner
Enskild|5567497051|12|Skåne län|1293|Hässleholm|79864142|Thoren Framtid i Hässleholm|Plutonvägen 1|28135|HÄSSLEHOLM|Plutonvägen 1|28135|HÄSSLEHOLM|0736-008720|http://www.karl-oskarskolan.se|anne.henrichsson@hlm.karl-oskarskolan.se|J|J|J|J|J|J|J|J|J|J|Thoren Framtid AB|Anne Henrichson|22|27|22|13|11|7|11|15|15|9|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Kommunal|2120000985|12|Skåne län|1293|Hässleholm|87274697|Tormestorps skola F-5|Box 254, Barn- och Utbildningsförvaltningen|28123|HÄSSLEHOLM|Ådalsvägen 4|28146|TORMESTORP|0451-267902|http://www.hassleholm.se/tormestorpskola|tormestorpskola@hessleholm.se|J|J|J|J|J|J|N|N|N|N|HÄSSLEHOLMS KOMMUN|Ingrid Landén|16|12|16|21|24|13|0|0|0|0||Kommuner
Kommunal|2120000985|12|Skåne län|1293|Hässleholm|98064311|Tyringe skola 7-9|Box 254, Barn- och Utbildningsförvaltningen|28123|HÄSSLEHOLM|Pluggvägen 2|28222|TYRINGE|0451-267913|http://www.hassleholm.se/tyringeskolor|omrvast@hessleholm.se|N|N|N|N|N|N|N|J|J|J|HÄSSLEHOLMS KOMMUN|Per-Ola Larsson|0|0|0|0|0|0|0|58|70|80||Kommuner
Kommunal|2120000985|12|Skåne län|1293|Hässleholm|28728987|Tyringe skola F-6|Box 254, Barn- och Utbildningsförvaltningen|28123|HÄSSLEHOLM|Pluggvägen 2|28222|TYRINGE|0451-267914|http://www.hassleholm.se/tyringeskolor|omrvast@hessleholm.se|J|J|J|J|J|J|J|N|N|N|HÄSSLEHOLMS KOMMUN|Anneli Perelius|46|46|51|53|58|42|62|0|0|0||Kommuner
Kommunal|2120000985|12|Skåne län|1293|Hässleholm|93845278|Vannarödsskolan 6-9|Box 254, Barn- och Utbildningsförvaltningen|28123|HÄSSLEHOLM|Slottsgatan 1|28010|SÖSDALA|0451-267904|http://www.hassleholm.se/vannarodsskolan|vannarod@hessleholm.se|N|N|N|N|N|N|J|J|J|J|HÄSSLEHOLMS KOMMUN|Jane Fälth|0|0|0|0|0|0|45|45|49|45||Kommuner
Kommunal|2120000985|12|Skåne län|1293|Hässleholm|28379252|Vanneberga skola F-6|Box 254, Barn- och Utbildningsförvaltningen|28123|HÄSSLEHOLM|Vanneberga |28834|VINSLÖV|0451-267730|http://www.hassleholm.se/vannebergaskola|vannebergaskola@hessleholm.se|J|J|J|J|J|J|J|N|N|N|HÄSSLEHOLMS KOMMUN|Annika Persson|8|11|10|9|12|6|6|0|0|0||Kommuner
Kommunal|2120000985|12|Skåne län|1293|Hässleholm|16939144|Vittsjö skola F-6|Box 254, Barn- och Utbildningsförvaltningen|28123|HÄSSLEHOLM|Flyvägen 1|28149|VITTSJÖ|0451-267804|http://www.hassleholm.se/vittsjoskola|vittsjoskola@hessleholm.se|J|J|J|J|J|J|J|N|N|N|HÄSSLEHOLMS KOMMUN|Pär Bengtsson|35|30|27|29|31|27|28|0|0|0||Kommuner
Kommunal|2120000985|12|Skåne län|1293|Hässleholm|91571086|Västerskolan 7-9|Box 254, Barn- och Utbildningsförvaltningen|28123|HÄSSLEHOLM|Mellankullagatan 9|28149|HÄSSLEHOLM|0451-267906|http://www.hassleholm.se/vasterskolan|vasterskolan79@hessleholm.se|N|N|N|N|N|N|N|J|J|J|HÄSSLEHOLMS KOMMUN|Kristina Liljerup|0|0|0|0|0|0|0|96|77|83||Kommuner
Kommunal|2120000985|12|Skåne län|1293|Hässleholm|75318783|Västerskolan F-6|Box 254, Barn- och Utbildningsförvaltningen|28123|HÄSSLEHOLM|Mellankullagatan 11|28149|HÄSSLEHOLM|0451-267905|http://www.hassleholm.se/vasterskolan|vasterskolanf6@hessleholm.se|J|J|J|J|J|J|J|N|N|N|HÄSSLEHOLMS KOMMUN|Karin Thörnkvist|0|19|14|21|30|18|28|0|0|0||Kommuner
Kommunal|2120000985|12|Skåne län|1293|Hässleholm|83016261|Västra Torups skola F-3|Box 254, Barn- och Utbildningsförvaltningen|28123|HÄSSLEHOLM|Rökevägen|28292|VÄSTRA TORUP|0451-267916|http://www.hassleholm.se/vastratorupskola|omrvast@hessleholm.se|J|J|J|J|N|N|N|N|N|N|HÄSSLEHOLMS KOMMUN|Mona Holmgren|16|13|22|12|0|0|0|0|0|0||Kommuner
Kommunal|2120001207|13|Hallands län|1315|Hylte|55039327|Elias Fries skola|Box 400|31480|HYLTEBRUK|Anders Olsgatan|31434|HYLTEBRUK|0345-18031|http://www.hylte.se/eliasfries|elias.fries.skola@skola.hylte.se|J|J|J|J|J|J|J|N|N|N|HYLTE KOMMUN|Ann-Christin Johansson|33|41|43|53|34|40|29|0|0|0||Kommuner
Kommunal|2120001207|13|Hallands län|1315|Hylte|26092677|Hylte kommuns enhet för nyanlända|Hylte kommun|31480|HYLTEBRUK|Dalgatan |31432|HYLTEBRUK|0345-18213||tommy.fock@hylte.se|N|J|J|J|J|J|J|J|J|J|HYLTE KOMMUN|Tommy Fock|0|0|0|0|0|0|0|0|0|0||Kommuner
Kommunal|2120001207|13|Hallands län|1315|Hylte|32214820|Kinnareds skola||31480|HYLTEBRUK|Brovägen|31405|KINNARED|0345-18422|http://www.hylte.se/kinnared|kinnared.skola@skola.hylte.se|J|J|J|J|J|J|J|N|N|N|HYLTE KOMMUN|Jim Carlsson|11|10|18|14|10|9|11|0|0|0||Kommuner
Enskild|5566657515|13|Hallands län|1315|Hylte|48694604|Labora Grundskola|Nybyvägen 6|31492|LÅNGARYD|Nybyvägen 6|31492|LÅNGARYD|0371-46066|http://www.laboraskolan.se|info@laboraskolan.se|N|N|N|J|J|J|J|J|J|J|LABORASKOLAN AB|Alexander Tornberg|0|0|0|12|9|9|4|9|6|4|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Kommunal|2120001207|13|Hallands län|1315|Hylte|46143897|Landeryds skola||31480|HYLTEBRUK|Skolvägen|31494|LANDERYD|0371-40168|http://www.hylte.se/landeryd|landeryd.skola@skola.hylte.se|J|J|J|J|J|J|J|N|N|N|HYLTE KOMMUN|Jim Carlsson|13|15|16|14|17|0|0|0|0|0||Kommuner
Kommunal|2120001207|13|Hallands län|1315|Hylte|50709257|Rydöbruks skola||31480|HYLTEBRUK|Rydöbruk|31442|RYDÖBRUK|0345-18422|http://www.hylte.se/rydobruk|rydos.skola@skola.hylte.se|J|J|J|J|J|J|J|N|N|N|HYLTE KOMMUN|Micael Emihl|6|3|13|8|12|10|6|0|0|0||Kommuner
Kommunal|2120001207|13|Hallands län|1315|Hylte|26544203|Torups skola||31480|HYLTEBRUK|Bosgårdsvägen 12|31441|TORUP|0345-20275|http://www.hylte.se/torup|torups.skola@skola.hylte.se|J|J|J|J|J|J|J|N|N|N|HYLTE KOMMUN|Micael Emihl|20|17|25|20|14|14|17|0|0|0||Kommuner
Kommunal|2120001207|13|Hallands län|1315|Hylte|28921911|Unnaryds skola||31480|HYLTEBRUK|Norra vägen 22|31083|UNNARYD|0371-60181|http://www.hylte.se/unnaryd|unnaryd.skola@skola.hylte.se|J|J|J|J|J|J|J|N|N|N|HYLTE KOMMUN|Marie Henningsson|19|15|6|16|14|14|13|0|0|0||Kommuner
Kommunal|2120001207|13|Hallands län|1315|Hylte|74764978|Örnaskolan 1||31480|HYLTEBRUK|Dalgatan 3|31432|HYLTEBRUK|0345-18119|http://www.hylte.se/ornaskolan|orna.skola@skola.hylte.se|J|J|J|J|J|J|J|N|N|N|HYLTE KOMMUN|Michael Assarsson|28|29|36|25|32|25|31|0|0|0||Kommuner
Kommunal|2120001207|13|Hallands län|1315|Hylte|80477825|Örnaskolan 3||31480|HYLTEBRUK|Dalgatan 3|31432|HYLTEBRUK|0345-18119|http://www.hylte.se/ornaskolan|orna.skola@skola.hylte.se|J|N|N|N|N|N|N|J|J|J|HYLTE KOMMUN|Thomas Brink|0|0|0|0|0|0|0|71|26|32||Kommuner
Kommunal|2120001215|13|Hallands län|1380|Halmstad|70167853|Andersbergsskolan 1|Box 275, Skolkontor Söder|30107|HALMSTAD|Skolgången|30255|HALMSTAD|035-182727|http://www.halmstad.se/forskolaskola/grundskola616ar/grundskolor.635.html|barnochelevenheten@halmstad.se|J|J|J|J|J|J|N|N|N|N|HALMSTADS KOMMUN|Jamshid Jalouli|19|21|27|26|23|18|0|0|0|0||Kommuner
Kommunal|2120001215|13|Hallands län|1380|Halmstad|42593551|Andersbergsskolan 2|Box 275, Skolkontor Söder|30107|HALMSTAD|Skolgången|30255|HALMSTAD|035-132727|http://www.halmstad.se/forskolaskola/grundskola616ar/grundskolor|barnochelevenheten@halmstad.se|J|J|J|J|J|J|N|N|N|N|HALMSTADS KOMMUN|Ralf Lind|42|50|28|22|24|18|0|0|0|0||Kommuner
Kommunal|2120001215|13|Hallands län|1380|Halmstad|64647994|Brearedsskolan 1|Box 275, Skolkontor Söder|30107|HALMSTAD|Mahultsvägen|31038|SIMLÅNGSDALEN|035-70197|http://www.halmstad.se/forskolaskola/grundskola616ar/grundskolor.635.html|barnochelevenheten@halmstad.se|J|J|J|J|J|J|J|N|N|N|HALMSTADS KOMMUN|Jonas Angeria|23|17|15|19|10|17|11|0|0|0||Kommuner
Kommunal|2120001215|13|Hallands län|1380|Halmstad|71629462|Brunnsåkersskolan 1|Box 180, Skolkontor Centum|30105|HALMSTAD|Flygaregatan 2|30238|HALMSTAD|035-138662|http://www.halmstad.se/forskolaskola/grundskola616ar/kommunalagrundskolor/skolomradecentrum/brunnsakersskolan.318.html|barnochelevenheten@halmstad.se|N|N|N|N|J|J|J|J|J|J|HALMSTADS KOMMUN|Caroline Tannerfalk Wiberg|0|0|0|0|92|0|89|0|0|0||Kommuner
Kommunal|2120001215|13|Hallands län|1380|Halmstad|87737594|Brunnsåkersskolan 2|Box 180, Skolkontor Centrum|30105|HALMSTAD|Flygaregatan 2|30238|HALMSTAD|035-138662|http://www.halmstad.se/forskolaskola/grundskola616ar/kommunalagrundskolor/skolomradecentrum/brunnsakersskolan.318.html|barnochelevenheten@halmstad.se|N|N|N|N|J|J|J|J|J|J|HALMSTADS KOMMUN|Wictoria Pålsson|0|0|0|0|0|72|5|8|9|11||Kommuner
Kommunal|2120001215|13|Hallands län|1380|Halmstad|61539121|Brunnsåkersskolan 3|Box 180, Skolkontor Centrum|30105|HALMSTAD|Flygaregatan 2|30238|HALMSTAD|035-138662|http://www.halmstad.se/forskola/grundskola615ar/grundskolor|barnochelevenheten@halmstad.se|N|N|N|N|J|J|J|J|J|J|HALMSTADS KOMMUN|Ulf Anderberg|0|0|0|0|0|0|0|70|77|98||Kommuner
Kommunal|2120001215|13|Hallands län|1380|Halmstad|50564422|Bäckagårdsskolan 1|Box 39, Skolkontor Norr|30102|HALMSTAD|Söndrums Kyrkoväg 2|30241|HALMSTAD|035-138950|http://www.halmstad.se/forskolaskola/grundskola616ar/grundskolor.635.html|barnochelevenheten@halmstad.se|J|J|J|J|J|J|N|N|N|N|HALMSTADS KOMMUN|Birgitta Almén|40|37|37|36|43|36|0|0|0|0||Kommuner
Kommunal|2120001215|13|Hallands län|1380|Halmstad|82520235|Centrumskolan|Box 180, Skolkontor Centrum|30105|HALMSTAD|Blekingegatan|31331|HALMSTAD|035-137129|http://www.halmstad.se/forskolaskola/grundskola616ar/grundskolor.635.html|barnochelevenheten@halmstad.se|J|J|J|J|J|J|J|J|J|J|HALMSTADS KOMMUN|Helena Poddany|0|0|1|1|0|0|2|3|1|3||Kommuner
Enskild|8492017143|13|Hallands län|1380|Halmstad|28459364|Eketånga Montessoriskola|Bäckagårdsvägen 19|30240|HALMSTAD|Bäckagårdsvägen 19|30240|HALMSTAD|035-161330|http://www.eketangamontessori.se|eketanga.montessoriskola@telia.com|J|J|J|J|J|J|J|J|J|J|IDEELLA FÖRENINGEN EKETÅNGA MONTESSORISKOLA|Hans-Erik Karlsson|24|24|24|25|26|25|25|26|27|22|Allmän|Ideella föreningar
Kommunal|2120001215|13|Hallands län|1380|Halmstad|61728212|Eldsbergaskolan 1|Box 275, Skolkont. Söder|30107|HALMSTAD|Prästvägen|30244|ELDSBERGA|035-138874|http://www.halmstad.se/forskolaskola/grundskola616ar/grundskolor.635.html|barnochelevenheten@halmstad.se|J|J|J|J|J|J|J|N|N|N|HALMSTADS KOMMUN|Linda Svensson|18|14|15|22|18|20|22|0|0|0||Kommuner
Enskild|5564624368|13|Hallands län|1380|Halmstad|78323330|Engelska Skolan i Halmstad|Kastanjeallén 3|30232|HALMSTAD|Kastanjeallén 3|30232|HALMSTAD|070-0019717|http://www.engelska.se|info.halmstad@engelska.se|N|N|N|N|J|J|J|J|J|J|Internationella Engelska Skolan i Sverige AB|Tomas Andreasson|0|0|0|0|90|94|128|94|93|85|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Kommunal|2120001215|13|Hallands län|1380|Halmstad|81285832|Esperedskolan 1|Box 39, Skolkontor Norr|30102|HALMSTAD|Brogatan 2|30247|OSKARSTRÖM|035-60829|http://www.halmstad.se/forskolaskola/grundskola616ar/grundskolor.635.html|barnochelevenheten@halmstad.se|J|J|J|J|J|J|J|N|N|N|HALMSTADS KOMMUN|Ulla Rischel|24|30|29|27|27|24|31|0|0|0||Kommuner
Kommunal|2120001215|13|Hallands län|1380|Halmstad|23491900|Frennarps byskola 1|Box 180, Skolkontor Centum|30105|HALMSTAD|Frennarpsvägen 135|30247|HALMSTAD|035-139713|http://www.halmstad.se/forskolaskola/grundskola616ar/grundskolor.635.html|barnochelevenheten@halmstad.se|J|J|J|J|N|N|N|N|N|N|HALMSTADS KOMMUN|Gunilla Lindqvist|16|21|26|22|0|0|0|0|0|0||Kommuner
Kommunal|2120001215|13|Hallands län|1380|Halmstad|51685096|Frösakullsskolan 1|Box 39, Skolkontor Norr|30102|HALMSTAD|Lokes väg 2|30247|HALMSTAD|035-138950|http://www.halmstad.se/forskolaskola/grundskola616ar/grundskolor.635.html|barnochelevenheten@halmstad.se|J|J|J|J|J|J|N|N|N|N|HALMSTADS KOMMUN|Elisabeth Collin|27|25|23|24|25|36|0|0|0|0||Kommuner
Kommunal|2120001215|13|Hallands län|1380|Halmstad|84189577|Furulundsskolan 1|Box 180, Skolkont Centum|30105|HALMSTAD|Karl Ifvarssons gata 25|30261|HALMSTAD|035-138644|http://www.halmstad.se/forskolaskola/grundskola616ar/grundskolor.635.html|barnochelevenheten@halmstad.se|J|J|J|J|J|J|J|J|J|J|HALMSTADS KOMMUN|Per Werger|1|0|0|0|0|59|75|81|49|37||Kommuner
